;x;y;z;time
225;-0.12550735;-1.2212358;-1.2212358;1418119693377
226;-0.8892832;-1.5714388;-1.5714388;1418119693397
227;-0.9787235;-1.4022732;-1.4022732;1418119693418
228;-1.1292434;-0.98163605;-0.98163605;1418119693437
229;-0.70426226;-1.2219152;-1.2219152;1418119693459
230;-0.46699262;-1.4817095;-1.4817095;1418119693476
231;-1.7667055;-0.8540907;-0.8540907;1418119693499
232;-0.066615105;-0.675272;-0.675272;1418119693516
233;-0.42614555;-0.10668945;-0.10668945;1418119693536
234;-1.1956694;-1.0324373;-1.0324373;1418119693555
235;-0.8019068;-1.2187271;-1.2187271;1418119693575
236;1.4246533;-0.9146509;-0.9146509;1418119693594
237;0.89840126;-0.22873116;-0.22873116;1418119693614
238;-2.3510196;-0.5719185;-0.5719185;1418119693634
239;-1.9351523;-0.41507626;-0.41507626;1418119693664
240;-0.47007656;-0.25778675;-0.25778675;1418119693683
241;-0.30586553;0.3284855;0.3284855;1418119693693
242;-0.90156853;0.14627361;0.14627361;1418119693712
243;-1.3496758;0.20126915;0.20126915;1418119693734
244;-1.7481079;0.030889511;0.030889511;1418119693753
245;-0.3404475;-0.31070995;-0.31070995;1418119693771
246;0.90375507;0.1345396;0.1345396;1418119693792
247;-1.1374578;-0.6885433;-0.6885433;1418119693811
248;-2.3351882;-0.5249367;-0.5249367;1418119693833
249;-1.6545961;-0.36734295;-0.36734295;1418119693851
250;-1.1648023;-0.27366734;-0.27366734;1418119693870
251;-0.7057989;0.019117355;0.019117355;1418119693891
252;-0.7117779;-0.0057935715;-0.0057935715;1418119693910
253;-1.436352;-0.1853981;-0.1853981;1418119693930
254;-1.2163839;-0.26266384;-0.26266384;1418119693950
255;-1.2415507;-0.28121853;-0.28121853;1418119693969
256;-1.2436451;-0.2078495;-0.2078495;1418119693990
257;-1.4601321;-0.3103075;-0.3103075;1418119694013
258;-2.1255183;-0.5029478;-0.5029478;1418119694028
259;-2.470584;-0.73557186;-0.73557186;1418119694050
260;-2.02082;-0.58217525;-0.58217525;1418119694069
261;-3.2218719;-0.8592291;-0.8592291;1418119694088
262;-4.252245;-1.381278;-1.381278;1418119694108
263;-3.8070874;-1.8534756;-1.8534756;1418119694128
264;-1.500705;-1.7373924;-1.7373924;1418119694147
265;-1.5905807;-1.376728;-1.376728;1418119694167
266;-2.796665;-1.6657505;-1.6657505;1418119694187
267;-2.5094903;-1.6690073;-1.6690073;1418119694207
268;-2.2490544;-1.7710886;-1.7710886;1418119694226
269;-1.4045093;-1.7924557;-1.7924557;1418119694246
270;-1.6896105;-2.0227747;-2.0227747;1418119694265
271;-1.634862;-2.6354008;-2.6354008;1418119694285
272;-1.0235381;-2.9247866;-2.9247866;1418119694305
273;0.28793097;-2.6381006;-2.6381006;1418119694325
274;0.3761258;-3.0525756;-3.0525756;1418119694344
275;0.79397535;-2.4125633;-2.4125633;1418119694363
276;-0.6085391;-2.6178613;-2.6178613;1418119694384
277;-0.8361597;-2.3522964;-2.3522964;1418119694404
278;0.29470634;-2.7648582;-2.7648582;1418119694424
279;1.9100361;-2.5557656;-2.5557656;1418119694443
280;2.3562002;-2.4416413;-2.4416413;1418119694463
281;1.7548246;-1.9225144;-1.9225144;1418119694482
282;1.6004372;-2.4239118;-2.4239118;1418119694502
283;3.3169289;-2.0138433;-2.0138433;1418119694522
284;2.6741495;-2.2570112;-2.2570112;1418119694543
285;2.6087685;-1.6815774;-1.6815774;1418119694564
286;4.2151365;-0.78205657;-0.78205657;1418119694585
287;4.442774;-0.6558876;-0.6558876;1418119694600
288;2.828786;-0.75056905;-0.75056905;1418119694620
289;0.8491869;-1.5317248;-1.5317248;1418119694640
290;2.445385;-1.1959984;-1.1959984;1418119694660
291;4.619705;-0.46436024;-0.46436024;1418119694679
292;4.521598;-0.36094725;-0.36094725;1418119694699
293;4.013707;-0.118082404;-0.118082404;1418119694719
294;2.7052517;-0.52808166;-0.52808166;1418119694739
295;1.5336027;-0.5567237;-0.5567237;1418119694759
296;2.6959648;-0.37693036;-0.37693036;1418119694778
297;1.9537516;-0.7179183;-0.7179183;1418119694799
298;2.7168922;-0.4430821;-0.4430821;1418119694818
299;3.3120737;-0.16363287;-0.16363287;1418119694838
300;2.4164343;-0.25190353;-0.25190353;1418119694857
301;2.097683;-0.141999;-0.141999;1418119694876
302;2.4658852;0.24175024;0.24175024;1418119694897
303;1.7080669;0.019886494;0.019886494;1418119694916
304;1.7837582;-0.39126682;-0.39126682;1418119694936
305;1.8893747;-0.44177723;-0.44177723;1418119694956
306;2.8931494;-0.5522727;-0.5522727;1418119694976
307;3.5909224;-0.3971635;-0.3971635;1418119694999
308;3.3444033;-0.673061;-0.673061;1418119695017
309;2.3486414;-1.089006;-1.089006;1418119695036
310;2.9291115;-1.1483108;-1.1483108;1418119695054
311;2.1375198;-1.3167306;-1.3167306;1418119695073
312;3.0084143;-1.8676686;-1.8676686;1418119695094
313;3.4163322;-1.702946;-1.702946;1418119695114
314;-0.53519917;-2.5435898;-2.5435898;1418119695135
315;-3.4144611;-2.006877;-2.006877;1418119695153
316;-1.3139725;-0.9446943;-0.9446943;1418119695173
317;4.116705;0.33005667;0.33005667;1418119695193
318;5.655319;-0.41190004;-0.41190004;1418119695212
319;3.1276684;-2.1790938;-2.1790938;1418119695232
320;-0.5091877;-3.1352754;-3.1352754;1418119695255
321;-1.4717846;-3.0152192;-3.0152192;1418119695271
322;-0.63058233;-2.1909442;-2.1909442;1418119695291
323;-0.1142993;-1.9935536;-1.9935536;1418119695311
324;-2.2260213;-2.4565673;-2.4565673;1418119695331
325;-3.3698401;-2.468019;-2.468019;1418119695355
326;-2.4106798;-2.13937;-2.13937;1418119695383
327;-1.095509;-1.5214639;-1.5214639;1418119695391
328;-0.27450037;-1.6323996;-1.6323996;1418119695410
329;-0.5367179;-1.6560755;-1.6560755;1418119695429
330;0.04344654;-1.1735373;-1.1735373;1418119695448
331;0.3199401;-1.4256315;-1.4256315;1418119695468
332;1.4705422;-1.2730722;-1.2730722;1418119695488
333;1.277667;-1.6295586;-1.6295586;1418119695508
334;-0.7351904;-1.4307432;-1.4307432;1418119695527
335;-3.4162805;-1.1937695;-1.1937695;1418119695547
336;-2.465889;-0.5667801;-0.5667801;1418119695567
337;-1.195576;-0.28482342;-0.28482342;1418119695587
338;0.94796324;-0.22182465;-0.22182465;1418119695606
339;1.8336627;-0.17036152;-0.17036152;1418119695626
340;1.0173632;-0.026322365;-0.026322365;1418119695646
341;0.33872217;0.4356556;0.4356556;1418119695665
342;-0.20277701;-0.3992529;-0.3992529;1418119695685
343;0.19297431;-1.147562;-1.147562;1418119695705
344;-0.33393663;-1.4142447;-1.4142447;1418119695724
345;-1.7789781;-1.3672962;-1.3672962;1418119695744
346;-3.0797725;-1.4397402;-1.4397402;1418119695764
347;-3.3573298;-1.5213919;-1.5213919;1418119695784
348;-2.9996822;-1.4690037;-1.4690037;1418119695804
349;-3.1730602;-1.1811037;-1.1811037;1418119695824
350;-2.5675378;-1.0346107;-1.0346107;1418119695843
351;-2.7758904;-0.87311745;-0.87311745;1418119695863
352;-2.501689;-0.72489834;-0.72489834;1418119695881
353;-1.8218788;-0.719738;-0.719738;1418119695902
354;-2.4032068;-0.7730112;-0.7730112;1418119695922
355;-3.1020217;-0.7847109;-0.7847109;1418119695942
356;-2.9629762;-0.64089394;-0.64089394;1418119695961
357;-2.0085187;-0.7998066;-0.7998066;1418119695981
358;-2.849595;-1.1575632;-1.1575632;1418119696061
359;-2.7940044;-1.0148811;-1.0148811;1418119696061
360;-2.2293506;-0.96471214;-0.96471214;1418119696061
361;-1.9850023;-0.88311577;-0.88311577;1418119696061
362;-2.9648712;-1.0441389;-1.0441389;1418119696079
363;-2.2778497;-0.7823448;-0.7823448;1418119696099
364;-1.7736015;-0.74117565;-0.74117565;1418119696119
365;-2.4679961;-0.9251213;-0.9251213;1418119696139
366;-0.10523832;-0.7846527;-0.7846527;1418119696158
367;0.21929955;-0.97226524;-0.97226524;1418119696178
368;-2.1257443;-1.7641449;-1.7641449;1418119696198
369;-3.568381;-2.3913708;-2.3913708;1418119696218
370;-2.1459703;-2.5450382;-2.5450382;1418119696237
371;-0.887079;-2.4662323;-2.4662323;1418119696259
372;-0.19465637;-2.2715206;-2.2715206;1418119696277
373;-0.49375725;-2.6850843;-2.6850843;1418119696297
374;-0.35524607;-3.3240404;-3.3240404;1418119696316
375;-0.9684839;-3.597342;-3.597342;1418119696336
376;-1.4279022;-3.6041274;-3.6041274;1418119696356
377;0.5262122;-3.4479556;-3.4479556;1418119696376
378;2.120452;-3.1826038;-3.1826038;1418119696395
379;2.0960789;-2.688654;-2.688654;1418119696415
380;-0.115029335;-2.7125807;-2.7125807;1418119696434
381;-0.8755665;-2.9154568;-2.9154568;1418119696455
